TIMESTAMPms	M100GLOBALPOSITIONINTlat	M100GLOBALPOSITIONINTlon	M100VFRHUDalt
27168	4.18803e+08	1.27032e+08	9.79487
27657	4.18803e+08	1.27032e+08	9.79487
27966	4.18803e+08	1.27032e+08	9.79487
28114	4.18803e+08	1.27032e+08	9.79487
28652	4.18803e+08	1.27032e+08	9.79487
29056	4.18803e+08	1.27032e+08	9.79487
29203	4.18803e+08	1.27032e+08	9.79487
29736	4.18803e+08	1.27032e+08	9.79487
29937	4.18803e+08	1.27032e+08	9.79487
30069	4.18803e+08	1.27032e+08	9.79487
30637	4.18803e+08	1.27032e+08	9.79487
31011	4.18803e+08	1.27032e+08	9.79487
31174	4.18803e+08	1.27032e+08	9.79487
31742	4.18803e+08	1.27032e+08	9.79487
31944	4.18803e+08	1.27032e+08	9.79487
32107	4.18803e+08	1.27032e+08	9.79487
32598	4.18803e+08	1.27032e+08	9.79487
33008	4.18803e+08	1.27032e+08	9.79487
33154	4.18803e+08	1.27032e+08	9.79487
33690	4.18803e+08	1.27032e+08	9.79487
33952	4.18803e+08	1.27032e+08	9.79487
34242	4.18803e+08	1.27032e+08	9.79487
34572	4.18803e+08	1.27032e+08	9.79487
35023	4.18803e+08	1.27032e+08	9.79487
35107	4.18803e+08	1.27032e+08	9.79487
35597	4.18803e+08	1.27032e+08	9.79487
36050	4.18803e+08	1.27032e+08	9.79487
36118	4.18803e+08	1.27032e+08	9.79487
36150	4.18803e+08	1.27032e+08	9.79487
36563	4.18803e+08	1.27032e+08	9.79487
37070	4.18803e+08	1.27032e+08	9.79487
37623	4.18803e+08	1.27032e+08	9.79487
38176	4.18803e+08	1.27032e+08	9.79487
39191	4.18803e+08	1.27032e+08	9.79487
39588	4.18803e+08	1.27032e+08	9.79487
39991	4.18803e+08	1.27032e+08	9.79487
40124	4.18803e+08	1.27032e+08	9.79487
40659	4.18803e+08	1.27032e+08	9.79487
41081	4.18803e+08	1.27032e+08	9.79487
41213	4.18803e+08	1.27032e+08	9.79487
41717	4.18803e+08	1.27032e+08	9.79487
42122	4.18803e+08	1.27032e+08	9.79487
