TIMESTAMPms	M100VFRHUDalt
370566	1.80646
370945	1.7842
371492	1.76843
372043	1.76539
372579	1.76581
372928	1.75675
373477	1.75358
374014	1.74529
374411	1.73213
374962	1.71898
375494	1.69559
376056	1.6764
376579	1.67448
376926	1.67458
377463	1.66943
378045	1.64298
378391	1.64002
378940	1.62785
379550	1.62701
380036	1.59485
380412	1.60082
380975	1.5828
381515	1.56878
382065	1.56058
382442	1.57807
382980	1.59386
383529	1.57352
384076	1.56278
384422	1.5554
384969	1.54663
385518	1.53842
386100	1.53003
386449	1.53399
386984	1.54513
387425	1.5451
388038	1.55258
388588	1.5474
388916	1.52427
389466	1.5495
390106	1.54331
390593	1.56694
390941	1.56254
391478	1.56552
392026	1.54937
392433	1.54601
392933	1.54773
393531	1.54343
393939	1.53438
394487	1.54689
395034	1.55123
395566	1.54242
395926	1.55032
396461	1.55681
397045	1.54033
397499	1.55481
398084	1.57942
398478	1.58047
398981	1.60061
399530	1.61197
400077	1.60711
400614	1.61941
400944	1.61162
401547	1.6332
402036	1.63195
402584	1.62281
402928	1.6121
403463	1.62892
404014	1.62099
404564	1.60008
404973	1.58573
405508	1.60177
406041	1.62021
406448	1.59616
406981	1.58034
407516	1.60237
408020	1.60607
408602	1.60565
408963	1.63739
409495	1.64636
410093	1.65069
410437	1.66604
410960	1.6865
411511	1.7043
412062	1.72187
412617	1.7399
412932	1.74734
413530	1.7424
414077	1.75284
414563	1.75215
414970	1.75265
415501	1.75466
416035	1.75087
416602	1.73869
416996	1.72277
417528	1.71369
418063	1.69913
418459	1.68705
419008	1.66625
419603	1.65677
420091	1.64609
420451	1.65011
421035	1.64286
421569	1.63257
421929	1.63672
422464	1.59952
422998	1.58036
423553	1.58023
424100	1.59331
424490	1.61188
425038	1.61384
425571	1.61538
426122	1.61947
426454	1.62559
426990	1.64757
427555	1.6657
428138	1.66564
428467	1.66674
429004	1.65704
429553	1.63162
430167	1.60965
430497	1.58697
431048	1.58789
431585	1.56756
431967	1.55695
432516	1.52915
433070	1.53935
433594	1.54349
434143	1.54833
434504	1.52647
435054	1.52957
435618	1.52556
435978	1.51024
436542	1.49899
437075	1.48855
437608	1.49446
438159	1.51178
438488	1.50813
439025	1.4964
439634	1.51871
440165	1.4848
440493	1.48397
441058	1.48763
441595	1.50624
441987	1.53251
442543	1.55056
443076	1.56097
443561	1.57804
444018	1.5842
444555	1.58792
445102	1.59616
445636	1.6007
446029	1.58162
446532	1.57966
447071	1.57321
447544	1.57092
448092	1.58085
448625	1.58452
449033	1.5942
449564	1.61596
450112	1.62442
450614	1.61572
451133	1.59257
451666	1.5924
451996	1.62809
452543	1.617
453095	1.59605
453504	1.5713
454035	1.56112
454567	1.54812
455068	1.54189
455509	1.53544
456058	1.51833
456593	1.50593
457147	1.48957
457543	1.4734
458077	1.46519
458614	1.45746
459164	1.44904
459512	1.44223
460044	1.44545
460598	1.45153
461151	1.46804
461517	1.46046
462065	1.45374
463466	1.44957
464015	1.45434
464562	1.43086
465063	1.40702
466129	1.33789
466522	1.33234
467058	1.33334
467610	1.31608
468568	1.28593
469135	1.25992
469669	1.2332
470012	1.24178
470593	1.23133
471148	1.23451
471494	1.22292
472028	1.22264
472578	1.18211
473133	1.18045
473665	1.16368
474058	1.1929
475015	1.22278
475661	1.23566
476022	1.22116
476589	1.2199
477078	1.2156
477641	1.21584
478032	1.21787
478568	1.22112
479115	1.22029
479505	1.19227
480052	1.17115
480586	1.18985
481135	1.21948
481483	1.22878
482068	1.24361
482604	1.2578
483155	1.26328
483503	1.24895
484055	1.27929
484572	1.25891
485029	1.28124
485563	1.28355
486097	1.30027
487133	1.27586
487666	1.27451
487998	1.28836
488533	1.30176
489128	1.30974
489518	1.32557
490050	1.33814
490598	1.31427
491008	1.32219
491543	1.33508
492096	1.29323
492636	1.29931
493031	1.30094
493565	1.29672
494112	1.31845
494659	1.32432
495003	1.28578
495540	1.27346
496485	1.26283
497006	1.25833
497555	1.23707
498091	1.2285
498622	1.23786
499184	1.25002
499515	1.25948
500062	1.25178
500641	1.22095
501205	1.19194
501536	1.18796
502068	1.199
502617	1.1674
503011	1.17672
504031	1.21238
504627	1.20366
505176	1.23132
505568	1.23011
506102	1.26407
506649	1.27564
507188	1.3829
507548	1.46839
508081	1.49022
508612	1.52438
509005	1.59322
509556	1.6056
510089	1.6056
510637	1.6056
511187	1.6056
511534	1.6056
512059	1.6056
512655	1.6056
513001	1.6056
513542	1.6056
514078	1.6056
514627	1.6056
515033	1.6056
515568	1.72443
516122	1.80827
516656	1.80827
517033	1.7976
517583	1.78792
518133	1.78908
518702	1.76672
519015	1.72791
519562	1.67782
520142	1.62407
520691	1.56429
521050	1.51168
521587	1.48141
522141	1.4174
522675	1.4028
523022	1.35103
523615	1.31421
524149	1.30592
524697	1.30169
525040	1.26905
525573	1.26836
526125	1.26288
526521	1.25253
527070	1.2477
527616	1.2152
528134	1.19661
528528	1.19451
529079	1.18464
529610	1.15639
530172	1.13447
530516	1.13979
531096	1.11841
531629	1.12671
532195	1.10694
532545	1.0744
533077	1.07088
533640	1.04907
534159	1.01449
534708	1.00705
535103	0.991059
535638	0.979344
536186	0.96306
536529	0.956794
537066	0.949655
537605	0.932223
538138	0.948712
538536	0.944253
539084	0.932558
539631	0.93701
540039	0.941963
540557	0.951483
541107	0.977492
541640	0.98318
542189	0.982827
542581	1.00037
543128	1.00244
543675	1.02321
544097	1.02144
544566	1.04265
545115	1.03917
545647	1.03982
546039	1.07089
546589	1.10945
547124	1.10869
547659	1.10487
548238	1.11238
548551	1.09677
549097	1.07427
549683	1.04201
550014	1.021
550562	1.03166
551114	1.03595
551652	1.02196
552047	1.0316
552611	1.00052
553146	0.961141
553543	0.980219
554065	0.964076
554630	0.942151
555161	0.94845
555710	0.943494
556057	0.952437
556595	0.976727
557178	0.986625
557669	1.01588
558078	1.03197
558612	1.04041
559161	1.02856
559692	1.02783
560255	1.02349
560630	1.01683
561180	1.02768
561714	1.03823
562058	1.01637
562607	1.01167
563155	1.01019
563546	1.02822
564092	1.04814
564608	1.06823
565186	1.07772
565562	1.08582
566097	1.11206
566644	1.13608
567193	1.14517
567536	1.15522
568086	1.17485
568667	1.18236
569216	1.16955
569560	1.15652
570091	1.14336
570638	1.13177
571203	1.13251
571689	1.1161
572129	1.08896
572660	1.09741
573208	1.08803
573615	1.04088
574240	1.04026
574630	1.0301
575148	1.06635
575695	1.04922
576090	1.04948
576622	1.01628
577154	0.991046
577561	0.990526
578092	0.959469
578640	0.918247
579186	0.864541
579720	0.823182
580079	0.767849
580657	0.736021
581204	0.738258
581548	0.758962
582126	0.760579
582657	0.730173
583188	0.70712
583721	0.710292
584144	0.732974
584660	0.732168
585208	0.753244
585739	0.718688
586067	0.720642
586583	0.71301
587114	0.712913
587661	0.702267
588067	0.673288
588601	0.647269
589148	0.625053
589788	0.64865
590089	0.651289
590620	0.629365
591167	0.634466
591714	0.61941
592075	0.585843
592655	0.585455
593203	0.599748
593724	0.585186
594067	0.606147
594630	0.620714
595177	0.632634
595710	0.651484
596090	0.665683
596644	0.654863
597193	0.630604
597732	0.682151
598061	0.679197
598613	0.723459
599145	0.743585
599694	0.79583
600072	0.860125
600719	0.918804
601109	0.985768
601641	1.04185
602079	1.11116
602710	1.16446
603711	1.1867
604274	1.16392
604649	1.17552
605232	1.1972
605747	1.18766
606094	1.22643
606632	1.22292
607167	1.23186
607762	1.25423
608108	1.26886
608643	1.26295
609193	1.2739
609743	1.26278
610041	1.24626
610620	1.23182
611216	1.23033
611751	1.23571
612098	1.23569
612648	1.23532
613185	1.23084
613581	1.21175
614128	1.23363
614675	1.24838
615206	1.22894
615600	1.24945
616147	1.27623
616680	1.3086
617231	1.30618
617763	1.33298
618123	1.3165
618657	1.28473
619254	1.34445
619603	1.37069
620137	1.37876
620672	1.39792
621239	1.53329
621775	1.53858
622107	1.53858
622704	1.53858
623244	1.53858
623593	1.53858
624115	1.53858
624664	1.53858
625166	1.53858
625718	1.53858
626111	1.53858
626675	1.53858
627191	2.09842
627587	2.99316
628091	2.99316
628639	3.39734
629172	5.72986
629751	6.68297
630283	7.55572
630626	7.68042
631161	7.68042
